creationDate|id|imageFile|locationIP|browserUsed|language|content|length|CreatorPersonId|ContainerForumId|LocationCountryId
2012-12-28T00:15:10.499+00:00|1168231113845||103.1.100.238|Firefox|zh|About Louis Philippe I, chy. His father was a duke who supported the French Revolution but was nevertheless gui|111|37383395346069|1030792151418|0
2012-12-28T00:16:03.548+00:00|1168231398113||190.96.189.165|Chrome|en|About Catherine the Great,  the nobility, in the classical style endorsed by the Empress, changed the face of|109|35184372089895|549755825138|70
2012-12-28T00:26:49.200+00:00|1168231230328||1.4.35.87|Firefox|zh|About Augustine of Hippo, gians, the alleviation of sore eyes,About George II of Great Britain, sh throne|105|4398046512351|137438958383|1
2012-12-28T00:33:10.271+00:00|1168231321955||31.208.121.27|Firefox|fr|About Billie Holiday, orn (1915-04-07)April 7, 1915Philadelphia, Pennsylvania, United|86|32985348833781|412316868660|101
2012-12-28T00:35:02.299+00:00|1168231473291||41.222.21.97|Firefox|pl|About Friedrich Nietzsche, logy at the University of Basel (the youngest individual to have held this position), but resigned in the summer of 1879 due to health pr|164|37383395344878|824633735445|110
2012-12-28T00:41:33.642+00:00|1168231490572||14.205.89.34|Firefox|uz|About Genghis Khan, thirsty pagan during the Age of Enlightenment. The book is a revisionist|93|8796093022823|962072689787|1
2012-12-28T00:43:18.377+00:00|1168231127639||27.123.90.74|Internet Explorer|my|About Morocco,  km², including the disputed region of the Western Sahara, seen by and mostly administered by Morocco as the Southern Provinces. Morocco is part of the Maghreb region, in addition to Tunisia, Algeria, Mauritania, and L|233|4398046512189|412316861276|0
2012-12-28T00:55:00.307+00:00|1168231379539||27.50.7.3|Firefox|zh|About George Strait,  Country Songs charts with 44 number one singles. Counting all other music charts, Strait has amassed a total of 59 number-one hits overall, breaking a record pre|183|21990232556183|618475300964|0
2012-12-28T01:00:52.979+00:00|1168231127384||199.103.77.189|Chrome|my|About Morocco, d parliament. The King of Morocco holds vast executive powers, includ|84|30786325578576|412316861276|50
2012-12-28T01:17:30.966+00:00|1168231482992||192.160.111.235|Internet Explorer|ru|About Mstislav Rostropovich, , and one of the greatest of all time. In addition to his outstanding interpretations and technique, he was well known for both inspiring and commission|181|910|962072689334|49
2012-12-28T01:40:29.160+00:00|1168231488508||61.95.138.160|Chrome|en|About Mahmud of Ghazni, wealthy capital of an extensive empire which covered most of today's Afgh|97|28587302322311|893353212901|0
2012-12-28T02:12:43.321+00:00|1168231386705||1.51.34.122|Chrome|en|About Augustine of Hippo, er 13, 354 – August 28, 430), also known as Augustine, St. Aug|88|15393162789443|481036347837|1
2012-12-28T02:13:32.750+00:00|1168231347509||89.31.177.162|Chrome|en|About William Faulkner, 1962) was an American writer and Nobel Prize laureate from Oxford, Mississippi. Faulkn|110|8796093023782|687194776457|78
2012-12-28T02:38:42.653+00:00|1168231249838|photo1168231249838.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:43.653+00:00|1168231249839|photo1168231249839.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:44.653+00:00|1168231249840|photo1168231249840.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:45.653+00:00|1168231249841|photo1168231249841.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:46.653+00:00|1168231249842|photo1168231249842.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:47.653+00:00|1168231249843|photo1168231249843.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:48.653+00:00|1168231249844|photo1168231249844.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:49.653+00:00|1168231249845|photo1168231249845.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:50.653+00:00|1168231249846|photo1168231249846.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:51.653+00:00|1168231249847|photo1168231249847.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:52.653+00:00|1168231249848|photo1168231249848.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:53.653+00:00|1168231249849|photo1168231249849.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:54.653+00:00|1168231249850|photo1168231249850.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
2012-12-28T02:38:55.653+00:00|1168231249851|photo1168231249851.jpg|27.100.33.2|Firefox|||0|6597069766839|1168231110032|52
